TIMESTAMP,WINDOW SIZE,PACKET SIZE,END-TO-END THROUGHPUT (bytes/sec),END-TO-END THROUGHPUT (bits/sec),ROUND-TRIP TIME,PACKET LOSS
1457888225.651953,5,64,25915.260952675177,207322.0876214014,0.024695873260498047,0
1457888225.710664,5,64,27826.156760609007,222609.25408487205,0.018399953842163086,1
1457888225.767616,5,64,33284.82491816288,266278.599345303,0.019227981567382812,0
1457888225.828788,5,64,28810.743141716397,230485.94513373118,0.02221393585205078,0
1457888225.885385,5,64,42981.99542055626,343855.9633644501,0.014889955520629883,0
1457888225.937897,5,64,45380.62212604815,363044.9770083852,0.014102935791015625,0
1457888226.005356,5,64,28696.783904556243,229574.27123644995,0.02230215072631836,0
1457888226.075524,5,64,31007.549410310614,248060.3952824849,0.020640134811401367,0
1457888226.12505,5,64,50813.10214280306,406504.81714242446,0.012595176696777344,0
1457888226.17843,5,64,52163.90516906335,417311.2413525068,0.012269020080566406,0
1457888226.234973,5,64,33594.32526124773,268754.60208998184,0.01905083656311035,0
1457888226.298294,5,64,38172.32956969369,305378.63655754953,0.016766071319580078,0
1457888226.353561,5,64,30758.8381020041,246070.7048160328,0.02080702781677246,0
1457888226.400994,5,64,53695.68250920147,429565.46007361176,0.011919021606445312,0
1457888226.45206,5,64,46417.22536355934,371337.8029084747,0.013787984848022461,0
1457888226.509204,5,64,33734.06590092241,269872.5272073793,0.018971920013427734,0
1457888226.5614,5,64,43638.8171606002,349110.5372848016,0.014665842056274414,0
